Code Diplôme;Intitulé diplôme (DEPP);Code RNCP;Niveau fiche RNCP;Abrégé de diplôme (RNCP);Dernière MaJ;Accès à l'apprentissage de la fiche RNCP (oui/non);Date d'échéance de la fiche RNCP;Fiche ACTIVE/INACTIVE
17021006;INGENIEUR DIPLOME DE L'INSTITUT SUPERIEUR D'AGRICULTURE RHONE-ALPES;RNCP11532;niveau7;Titre ingénieur;v2.0;oui;01/01/2024;ACTIVE
56T23207;CONSTRUCTEUR BOIS (TP);RNCP35507;niveau3;TP;v1.6;oui;26/04/2026;ACTIVE
